Category,Description,Nutrient Data Bank Number,Data.Household Weights(Gram),Data.Household Weight Description
BEEF,"BEEF,CURED,LUNCHEON MEAT,JELLIED",13353,28.35,"1 slice,  (1 oz) (4"" x 4"" x 3/32"" thick)"
BEEF,"BEEF,CURED,SMOKED,CHOPD BF",13358,28.35,"1 slice,  (1 oz)"
BEEF,"BEEF,CURED,THIN-SLICED BF",13360,28.35,1 oz
BEEF,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,ALL GRDS,RAW",13795,28.35,1 oz
BEEF,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CHOIC,RAW",13797,28.35,1 oz
BEEF,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,SEL,RAW",13799,28.35,1 oz
BEEF,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,PRIME,RAW",13801,28.35,1 oz
BEEF,"BEEF,BRISKET,WHL,LN&FAT,1/8""FAT,ALL GRDS,RAW",13803,28.35,1 oz
BEEF,"BEEF,BRISKET,POINT HALF,LN&FAT,1/8""FAT,ALL GRDS,RAW",13807,28.35,1 oz
BEEF,"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,ALL GRDS,RAW",13809,28.35,1 oz
BEEF,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,ALL GRDS,RAW",13815,28.35,1 oz
BEEF,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,CHOIC,RAW",13817,28.35,1 oz
BEEF,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,SEL,RAW",13819,28.35,1 oz
BEEF,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,RAW",13824,28.35,1 oz
BEEF,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,RAW",13827,28.35,1 oz
BEEF,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,RAW",13830,28.35,1 oz
BEEF,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,RAW",13833,28.35,1 oz
BEEF,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,RAW",13838,28.35,1 oz
BEEF,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,RAW",13841,28.35,1 oz
BEEF,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,RAW",13844,28.35,1 oz
BEEF,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,RAW",13847,28.35,1 oz
BEEF,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,RAW",13850,28.35,1 oz
BEEF,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,RAW",13853,28.35,1 oz
BEEF,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,RAW",13859,28.35,1 oz
BEEF,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,RAW",13864,28.35,1 oz
BEEF,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,RAW",13866,28.35,1 oz
BEEF,"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",13868,28.35,1 oz
BEEF,"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,CHOIC,RAW",13871,28.35,1 oz
BEEF,"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,SEL,RAW",13874,28.35,1 oz
BEEF,"BEEF,RND,EYE OF RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",13877,28.35,1 oz
BEEF,"BEEF,RND,EYE OF RND,LN&FAT,1/8""FAT,CHOIC,RAW",13879,28.35,1 oz
BEEF,"BEEF,RND,EYE OF RND,LN&FAT,1/8""FAT,SEL,RAW",13881,28.35,1 oz
BEEF,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",13883,28.35,1 oz
