Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Ash,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Kilocalories,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Manganese,Data.Niacin,Data.Pantothenic Acid,Data.Protein,Data.Refuse Percentage,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Household Weights(Gram),Data.Household Weight Description,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
CORNNUTS,CORNNUTS BARBECUE-FLAVOR,19400,32,1.4,34,0,58.4,0,21,7.699999809,519,46,0,1.56,0.71,0.62,2.3,0,0,0.017,1.5,35.34000015,0.085,4.3,1.95,0.63,28.97,33.6,28.35,1 oz,18,0.205,1.25,76,56,536,6,0.75,83,4,0,0.26,6.3,0.24,1.3
CORNNUTS,CORNNUTS NACHO-FLAVOR,19401,0,3.4,0,0,71.7,0,0,8.399999619,436,0,0,0.487,1.507,0.374,9,0,0,0.142,0,0,0.35,1.6,7.36,3.22,2.58,14.3,28.35,1 oz,17,0.136,1.7,109,283,286,976,1.88,338,17,0,0.187,0.4,0,0
COTTONSEED KRNLS,COTTONSEED KRNLS ROASTED (GLANDLESS),12160,0,4.58,0,0,21.9,0,0,5.5,506,0,0,2.181,3,0.456,32.59,0,0,0.255,0,0,0.75,4.65,6.919,18.068,9.699,36.29,149,1 cup,100,1.2,5.4,440,800,1350,25,6,442,22,0,0.782,9,0,0
COUSCOUS,COUSCOUS DRY,20027,0,0.09,0,0,91.27,0,0,0.899999976,381,0,0,0.053,0,0,0.26,0,0,0,2.8,0,0,8.32,0.016,0.025,0.009,0.05,128,1 cup,2,0.05,0.47,3,13,3,9,0.06,0,0,0,0,0,0,0
COUSCOUS,COUSCOUSCOOKED,20028,0,0.62,0,0,77.43,0,0,5,376,0,0,0.78,3.49,1.243,12.76,0,0,0.078,0,0,0.163,8.56,0.089,0.252,0.117,0.64,173,1 cup,24,0.247,1.08,44,170,166,10,0.83,0,0,0,0.11,0,0,0
COWPEAS,COWPEAS LEAFY TIPS RAW,11201,0,1.05,0,0,4.82,0,0,0,29,0,0,0.509,1.12,0.06,4.1,48,0,0.175,0.9,0,0.354,89.78,0.022,0.106,0.066,0.25,36,1 cup  chopped,63,0.191,1.92,43,9,455,7,0.29,712,36,0,0.177,36,0,0
COWPEAS,COWPEAS LEAFY TIPS COOKED BOILED DRND WITHOUT SALT,11202,0,1.13,0,0,2.8,0,0,0,22,0,0,0.412,1.008,0.046,4.67,0,0,0.142,0.9,0,0.256,91.3,0.009,0.042,0.026,0.1,53,1 cup  chopped,69,0.154,1.09,62,42,351,6,0.24,576,29,0,0.135,18.4,0,0
COWPEAS,COWPEAS YOUNG PODS WITH SEEDS RAW,11197,0,0.9,0,0,9.5,0,0,0,44,0,0,0.308,1.2,0.945,3.3,9,0,0.14,0.9,0,0.15,86,0.027,0.127,0.079,0.3,94,1 cup,65,0.1,1,58,65,215,4,0.34,1600,80,0,0.173,33,0,0
COWPEAS,COWPEAS YOUNG PODS WITH SEEDS COOKED BOILED DRND WITHOUT SALT,11198,0,0.6,0,0,7,0,0,0,34,0,0,0.219,0.8,0.638,2.6,0,0,0.09,0.7,0,0.09,89.5,0.027,0.127,0.079,0.3,95,1 cup,55,0.071,0.7,41,49,196,3,0.24,1400,70,0,0.123,17,0,0
COWPEAS,CHICKPEAS MATURE SEEDS COOKED BOILED WITH SALT,16357,0,0.92,16,0,27.42,0,43,7.599999905,164,0,0,1.03,0.526,0.286,8.86,0,0,0.063,3.7,4.800000191,0.116,60.21,0.583,1.156,0.269,2.59,164,1 cup,49,0.352,2.89,48,168,291,243,1.53,27,1,0,0.139,1.3,0.35,4
COWPEAS,COWPEAS CATJANG MATURE SEEDS COOKED BOILED WITH SALT,16361,0,1.16,0,0,20.32,0,0,3.599999905,117,0,0,0.473,0.714,0.386,8.13,0,0,0.046,2.5,0,0.162,69.7,0.059,0.303,0.185,0.71,171,1 cup,26,0.271,3.05,96,142,375,255,1.87,10,1,0,0.092,0.4,0,0
COWPEAS (BLACKEYES),COWPEAS (BLACKEYES) IMMAT SEEDS RAW,11191,0,0.67,0,0,18.83,0,0,5,90,0,0,0.56,1.45,0.151,2.95,49,0,0.145,2.3,3,0.11,77.2,0.032,0.15,0.09,0.35,145,1 cup,126,0.13,1.1,51,53,431,4,1.01,817,41,0,0.067,2.5,0,0
COWPEAS (BLACKEYES),COWPEAS (BLACKEYES) IMMAT SEEDS FROZEN UNPREP,11195,0,1.05,0,0,25.13,0,0,5,139,0,0,0.881,0.811,0.237,8.98,0,0,0.071,3.6,0,0.245,64.15,0.063,0.297,0.185,0.7,160,1 cup,26,0.205,2.35,55,122,441,6,1.58,84,4,0,0.106,4,0,0
COWPEAS (BLACKEYES),COWPEAS (BLACKEYES) IMMAT SEEDS COOKED BOILED DRND WITHOUT SALT,11192,0,0.65,475,0,20.32,0,33,5,97,0,0,0.572,1.403,0.154,3.17,0,0,0.148,2.5,3.230000019,0.101,75.48,0.034,0.161,0.096,0.38,165,1 cup,128,0.133,1.12,52,51,418,4,1.03,791,40,0,0.065,2.2,0.22,26.6
COWPEAS (BLACKEYES),COWPEAS (BLACKEYES) IMMTRE SEEDS FROZEN COOKED BOILED DRND WITHOUT SALT,11196,0,0.99,45,0,23.76,0,46,6.400000095,132,0,0,0.791,0.728,0.213,8.49,0,0,0.064,3.4,4.460000038,0.26,66.1,0.06,0.28,0.175,0.66,170,1 cup,23,0.184,2.12,50,122,375,5,1.42,75,4,0,0.095,2.6,0.3,36.8
CRAB,CRAB BLUE CRAB CAKES,15142,0,2.1,0,0,0.48,150,0,0,155,0,0,0.19,2.9,0.5,20.21,0,53,0.08,40.7,0,0.09,71,2.815,2.273,1.483,7.52,60,1 cake,105,0.61,1.08,33,213,324,330,4.09,252,57,5.94,0.17,2.8,0,0
CRAB,CRAB ALASKA KING IMITN MADE FROM SURIMI,15138,0,2.26,0,0,15,20,13,0.5,95,0,0,0.011,0.62,0,7.62,0,0,0.08,22.3,6.25,0.03,74.66,0.232,0.182,0.176,0.46,85,3 oz,13,0.032,0.39,43,282,90,841,0.33,0,0,0.57,0.13,0,0.17,0.4
CRAB,CRAB BLUE RAW,15139,0,1.81,0,0,0.04,78,0,0,87,0,0,0.15,2.7,0.35,18.06,0,2,0.04,37.4,0,0.08,79.02,0.192,0.387,0.222,1.08,85,3 oz,89,0.669,0.74,34,229,329,293,3.54,5,2,9,0.15,3,0,0
